site,url,family,classification,status,indexable_on_page,word_count,template_ratio,unique_sentence_ratio,nearest_similarity,nearest_url,doorway_risk,duplicate_risk,thin_risk,internal_links_in,internal_links_out,title,h1,canonical,gsc_clicks_28d,gsc_impressions_28d,gsc_ctr_28d,gsc_position_28d,gsc_index_status,protected
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/seyran,ankara_district_service,MERGE,200,true,795,0.7661,0.1513,0.9616,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/medrese,true,true,false,3,49,Ankara Haymana Seyran Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Haymana Seyran . LOJİSTİK,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/seyran,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/medrese,ankara_district_service,MANUAL_REVIEW,200,true,795,0.7661,0.1513,0.8683,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ahikemal,true,false,false,3,49,Ankara Haymana Medrese Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Haymana Medrese . TAŞIMACILIK,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/medrese,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/caldag,ankara_district_service,MANUAL_REVIEW,200,true,795,0.7661,0.1513,0.7221,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ahikemal,true,false,false,3,49,Ankara Haymana Çaldağ Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Haymana Çaldağ . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/haymana/caldag,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan,ankara_district,MANUAL_REVIEW,200,true,1450,0.6743,0.3257,0.9032,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik,true,false,false,365,53,Kahramankazan Evden Eve Nakliyat - Asansörlü & Sigortalı | Ankara Özdemir Nakliyat,Kahramankazan . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/evden-eve-nakliyat,ankara_district_service,MERGE,200,true,1016,0.5630,0.2216,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/evden-eve-nakliyat,true,true,false,3,61,Kahramankazan Evden Eve Nakliyat | Garantili Hizmet | Ankara Özdemir Nakliyat,Kahramankazan Evden Eve Nakliyat,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/ofis-tasima,ankara_district_service,MERGE,200,true,995,0.5861,0.1885,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ofis-tasima,true,true,false,3,61,Kahramankazan Ofis Taşıma | Garantili Hizmet | Ankara Özdemir Nakliyat,Kahramankazan Ofis Taşıma,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/ofis-tasima,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/nakliyat-fiyatlari,ankara_district_service,MERGE,200,true,1015,0.5737,0.2004,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/nakliyat-fiyatlari,true,true,false,2,61,Kahramankazan Nakliyat Fiyatları | Garantili Hizmet | Ankara Özdemir Nakliyat,Kahramankazan Nakliyat Fiyatları,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/nakliyat-fiyatlari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/satikadin,ankara_district_service,MANUAL_REVIEW,200,true,808,0.7534,0.1488,0.8088,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/fatih,true,false,false,4,50,Ankara Kahramankazan Satıkadın Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kahramankazan Satıkadın . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/satikadin,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/kayi,ankara_district_service,MANUAL_REVIEW,200,true,808,0.7534,0.1488,0.8102,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/fatih,true,false,false,4,50,Ankara Kahramankazan Kayı Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kahramankazan Kayı . LOJİSTİK,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/kayi,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/ataturk,ankara_district_service,MANUAL_REVIEW,200,true,809,0.7534,0.0537,0.8116,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/fatih,true,false,false,4,50,Ankara Kahramankazan Atatürk Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kahramankazan Atatürk . EVDEN EVE,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/ataturk,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/fatih,ankara_district_service,MANUAL_REVIEW,200,true,808,0.7534,0.0537,0.8530,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ahikemal,true,false,false,4,50,Ankara Kahramankazan Fatih Evden Eve Nakliyat | Ankara Özdemir Nakliyat,Kahramankazan Fatih . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/kahramankazan/fatih,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik,ankara_district,MANUAL_REVIEW,200,true,1423,0.6901,0.3099,0.8869,https://ankaraozdemirnakliyat.com/islemler/ankara/pursaklar,true,false,false,365,52,Kalecik Evden Eve Nakliyat - Asansörlü & Sigortalı | Ankara Özdemir Nakliyat,Kalecik . NAKLİYAT,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/evden-eve-nakliyat,ankara_district_service,MERGE,200,true,1016,0.5630,0.2216,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/mamak/evden-eve-nakliyat,true,true,false,3,61,Kalecik Evden Eve Nakliyat | Garantili Hizmet | Ankara Özdemir Nakliyat,Kalecik Evden Eve Nakliyat,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/evden-eve-nakliyat,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ofis-tasima,ankara_district_service,MERGE,200,true,995,0.5861,0.1885,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/mamak/ofis-tasima,true,true,false,3,61,Kalecik Ofis Taşıma | Garantili Hizmet | Ankara Özdemir Nakliyat,Kalecik Ofis Taşıma,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/ofis-tasima,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
ozdemir,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/nakliyat-fiyatlari,ankara_district_service,MERGE,200,true,1015,0.5737,0.2004,1.0000,https://ankaraozdemirnakliyat.com/islemler/ankara/mamak/nakliyat-fiyatlari,true,true,false,2,61,Kalecik Nakliyat Fiyatları | Garantili Hizmet | Ankara Özdemir Nakliyat,Kalecik Nakliyat Fiyatları,https://ankaraozdemirnakliyat.com/islemler/ankara/kalecik/nakliyat-fiyatlari,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,false
